date,Account,pnl
2024-05-04,0x4f93fead39b70a1824f981a54d4e55b278e9f760,4444.4983010000005
2024-05-04,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,5296.433789
2024-05-04,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,965.5522159999999
2024-05-05,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0
2024-05-05,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,0.916
2024-05-06,0x8477e447846c758f5a675856001ea72298fd9cb5,56.055506
2024-05-07,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0
2024-05-07,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0
2024-05-08,0x4f93fead39b70a1824f981a54d4e55b278e9f760,-4779.219012
2024-05-08,0x8477e447846c758f5a675856001ea72298fd9cb5,160.44369899999998
2024-05-08,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,0.0
2024-05-08,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-8394.889856
2024-05-09,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,0.0
2024-05-10,0x430f09841d65beb3f27765503d0f850b8bce7713,0.0
2024-05-10,0x4f93fead39b70a1824f981a54d4e55b278e9f760,5767.161892
2024-05-11,0x4f93fead39b70a1824f981a54d4e55b278e9f760,678.4759280000001
2024-05-12,0x271b280974205ca63b716753467d5a371de622ab,208.81746
2024-05-12,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,14685.787664
2024-05-12,0x2c229d22b100a7beb69122eed721cee9b24011dd,2069.92634
2024-05-12,0x39cef799f8b69da1995852eea189df24eb5cae3c,0.0
2024-05-12,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,3174.023699
2024-05-12,0x4f93fead39b70a1824f981a54d4e55b278e9f760,1435.68724
2024-05-12,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,0.0
2024-05-12,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,49999.876084999996
2024-06-01,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,135.58166400000002
2024-06-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-215.615907
2024-06-03,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,6814.825139
2024-06-04,0x4f93fead39b70a1824f981a54d4e55b278e9f760,236.33513399999998
2024-06-05,0x4f93fead39b70a1824f981a54d4e55b278e9f760,968.59038
2024-06-06,0x8477e447846c758f5a675856001ea72298fd9cb5,274.173187
2024-06-07,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,108.87217799999999
2024-06-08,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,215.754798
2024-06-08,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,51.56325
2024-06-09,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0
2024-06-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-1104.856765
2024-06-10,0x4f93fead39b70a1824f981a54d4e55b278e9f760,130.487079
2024-06-11,0x2c229d22b100a7beb69122eed721cee9b24011dd,-3.41119
2024-06-11,0x4f93fead39b70a1824f981a54d4e55b278e9f760,2821.24842
2024-06-12,0x083384f897ee0f19899168e3b1bec365f52a9012,-175611.00005600002
2024-06-12,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,0.0
2024-06-12,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,389.176232
2024-06-12,0x2c229d22b100a7beb69122eed721cee9b24011dd,-123.870122
2024-06-12,0x39cef799f8b69da1995852eea189df24eb5cae3c,0.0
2024-06-12,0x420ab45e0bd8863569a5efbb9c05d91f40624641,0.0
2024-06-12,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,514.886454
2024-06-12,0x4f93fead39b70a1824f981a54d4e55b278e9f760,7206.315268
2024-06-12,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,0.0
2024-06-12,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,74999.848329
2024-07-01,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-835.681235
2024-07-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,241.24212
2024-07-04,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0
2024-07-05,0x4f93fead39b70a1824f981a54d4e55b278e9f760,656.21704
2024-07-05,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,0.0
2024-07-05,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,227.320653
2024-07-06,0x4f93fead39b70a1824f981a54d4e55b278e9f760,7329.223137999999
2024-07-06,0x8477e447846c758f5a675856001ea72298fd9cb5,1573.244278
2024-07-06,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0
2024-07-07,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,61.428942
2024-07-08,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,0.0
2024-07-08,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,0.0
2024-07-08,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,188.789255
2024-07-10,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0
2024-07-11,0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,503.46257599999996
2024-07-11,0x4f93fead39b70a1824f981a54d4e55b278e9f760,628.96246
2024-07-11,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,3360.9281
2024-07-12,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,3515.031065
2024-07-12,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,4008.012049
2024-07-12,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,1040.616939
2024-07-12,0x4f93fead39b70a1824f981a54d4e55b278e9f760,2342.996384
2024-07-12,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,0.0
2024-07-12,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,74999.62263
2024-08-01,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-269.874439
2024-08-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,770.756024
2024-08-03,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,4271.886236
2024-08-04,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0
2024-08-04,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1218.4267
2024-08-05,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0
2024-08-05,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1.56576
2024-08-06,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0
2024-08-06,0x8477e447846c758f5a675856001ea72298fd9cb5,129.13883900000002
2024-08-07,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0
2024-08-08,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,-40.712216999999995
2024-08-08,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0
2024-08-09,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,0.0
2024-08-10,0x4f93fead39b70a1824f981a54d4e55b278e9f760,5396.546638
2024-08-10,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0
2024-08-11,0x2c229d22b100a7beb69122eed721cee9b24011dd,-710.786946
2024-08-11,0x4f93fead39b70a1824f981a54d4e55b278e9f760,646.3734049999999
2024-08-12,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,554.009942
